Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Rohrzangen-Set Unior, 3-tlg.";"Unior";"FA75508";"Werkzeuge Maschinen>Handwerkzeug>Zangen,Zwingen,Schlagwerkzeug>Zangen>Rohr-, Wasserpumpenzangen";"Eckrohrzangen in den Größen 1“, 1 ½“ und 2“ aus hochwertigem CV-Stahl mit induktiv gehärteten Zähnen.";https://www.faie.at/media/image/bc/21/25/art_pro_fo_ba_75508_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/zangen-zwingen-schlagwerkzeug/zangen/rohr-wasserpumpenzangen/5075508/rohrzangen-set-unior-3-tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);99,95;112,00;"3838909143309"; 6,95;
"Obstmühle mit Elektromotor 230V, 500x750 mm";"keine Angabe";"FA75881";"Direkt-Vermarktung>Kellereibedarf>Obstverarbeitung>Obstmühlen, Obstpressen";"Obstmühle mit Elektromotor 0,37 kW, 230 V für kleinere Mengen von Obst. Durch zusätzliche Zerkleinerungswelle auch für Äpfel und Birnen geeignet. Trichter aus Edelstahl, Gewicht ca. 30 kg.";https://www.faie.at/media/image/56/ed/83/art_pro_fo_pb_75881_200x200.jpg;"https://www.faie.at/direkt-vermarktung/kellereibedarf/obstverarbeitung/obstmuehlen-obstpressen/5075881/obstmuehle-mit-elektromotor-230v-500x750-mm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);599,00;649,00;""; 0;
"Original Mähmessergarnitur für Doppelmessermähwerk 6'";"ESM";"FA76221";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesser>passend zu BRD-Busatis";"1,9m, bestehend aus Obermesser DME1606 A = 5460.055.63 = 262.5990 und Untermesser DME 1606B = 5470.055.61 = 265.5980. Passend zu AEBI TT33 mit Frontmähwerk, Busatis Heckmähwerk BM1102, Rasant Nußmüller KombiTrak, Reform Metrac 2002, 2004, 3000 Original Nr. 221.601.920 und vielen mehr.";https://www.faie.at/media/image/27/9f/60/art_pro_fo_ha_76221_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesser/passend-zu-brd-busatis/5076221/original-maehmessergarnitur-fuer-doppelmessermaehwerk-6";lagernd (derzeit bis zu 10 Werktage Lieferzeit);419,00;519,00;"4051858243671"; 0;
"Sweatshirt Eat- Sleep- Go Fishing";"Jenzi";"FA76313";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Hochwertiger Kapuzen-Sweater mit modernem Aufdruck, sportlich und bequem. 60 % Baumwolle, 40% Polyester. Größen S-XXXL";https://www.faie.at/media/image/9d/f7/7c/art_pro_fo_ka_80072_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5076313/sweatshirt-eat-sleep-go-fishing";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,99;39,99;"4014037908945"; 9,95;
"Sweatshirt Ground Contact";"Jenzi";"FA76323";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Hochwertiger Kapuzen-Sweater mit modernem Aufdruck, sportlich und bequem. 60 % Baumwolle, 40% Polyester. Größen M-XXXL";https://www.faie.at/media/image/19/20/0c/art_pro_fo_ka_80073_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5076323/sweatshirt-ground-contact";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,99;39,99;"4014037910481"; 9,95;
"Sweatshirt Siluro Special";"Jenzi";"FA76328";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Hochwertiger Kapuzen-Sweater mit modernem Aufdruck, sportlich und bequem. 60 % Baumwolle, 40% Polyester. Größen M-XXXL";https://www.faie.at/media/image/18/2b/c6/art_pro_fo_ka_80074_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5076328/sweatshirt-siluro-special";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,99;39,99;"4014037910689"; 9,95;
"Sweatshirt Corrigator, weiß";"Jenzi";"FA76332";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Hochwertiger Kapuzen-Sweater mit modernem Aufdruck, sportlich und bequem. 60 % Baumwolle, 40% Polyester. Größen M-XXXL";https://www.faie.at/media/image/67/85/3d/art_pro_fo_ka_80075_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5076332/sweatshirt-corrigator-weiss";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,99;39,99;"4014037910160"; 9,95;
"Motorsäge Dolmar PS-5105 CH mit Griffheizung";"Dolmar";"FA76647";"Forst>Kettensägen>Dolmar Kettensägen>Dolmar Kettensägen Benzin";"Kraftvoll, Spritzig, Durchzugsstark! Die rasante Beschleunigung und die hohe Durchzugskraft machen diese Säge zur leistungsstarken Universalmaschine. Tolles Startverhalten mit Federleichtstartsystem und automatischer Halbgasarretierung . Red Power Motormanagement - ca. 10% weniger Verbrauch durch optimierter Gaswechsel und halbierte Spülverluste - geringere Abgase. Mit schaltbarer, elektrischer Griffheizung für mehr Sicherheit und Komfort in der kalten Jahreszeit.";https://www.faie.at/media/image/4c/a7/49/art_pro_fo_ca_63362_200x200.jpg;"https://www.faie.at/forst/kettensaegen/dolmar-kettensaegen/dolmar-kettensaegen-benzin/5076647/motorsaege-dolmar-ps-5105-ch-mit-griffheizung";nicht lagernd (10-14 Werktage Lieferzeit);749,95;769,95;"4002829800331"; 0;
"Dampfbügeltisch 110x34cm";"keine Angabe";"FA76657";"Haushalt, Gesundheit>Haushalt>Ordnung & Sauberkeit>Wäsche & Co.";"Bügeltisch mit dampfdurchlässiger Streckmetall-Bügelfläche in kompakter Größe – für alle Wäschearten, lässt sich platzsparend zusammenklappen, verstaubar in fast allen Ecken. Höhenverstellbar von ca. 76-92 cm – individuell nach Körpergröße und Arbeitshöhe, mit hitzebeständiger Bügeleisenablage inkl. 4 Silikonnoppen – kein Verrutschen der Bügelsohle. Aus robustem Streckmetall in Weiß, pulverbeschichtet, 4-Fuß-Untergestell mit Gummikappen, abnehmbarer Bezug in Rosa, 100% Baumwolle, waschbar bis zu 40° C, Schaumstoffpolsterung. Gut geeignet zum einfachen Auf- und Abbau – mit Feststellhebel am Untergestell. Maße: Bügelfläche ca. 110 x 34 cm, praktisch höhenverstellbar von ca. 76-92 cm.";https://www.faie.at/media/image/a2/f1/5b/art_pro_fo_ia_76657_v2_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/ordnung-sauberkeit/waesche-co./5076657/dampfbuegeltisch-110x34cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,90;29,90;"7640114039232"; 9,95;
"Mauernutfräse Einhell TH-MA 1300";"EINHELL";"FA77020";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeuge>Handkreissägen, Stichsägen>Sonstige Elektrosägen";"Preiswerte Mauerfräse für das einfache herstellen von Fugen für Instalationsarbeiten im Mauerwerk. Leistung 1320 Watt/230Volt, Nutbreite 8-26mm verstellbar, Schnitttiefe 8-30mm stufenlos einstellbar. Komplett mit Anschlußstutzen für Absaugung und 2stk Diamant Trennscheiben sowie Kunststoffkoffer.";https://www.faie.at/media/image/07/a6/16/art_pro_fo_aa_77020-2_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeuge/handkreissaegen-stichsaegen/sonstige-elektrosaegen/5077020/mauernutfraese-einhell-th-ma-1300";nicht lagernd (10-14 Werktage Lieferzeit);119,90;139,00;"4006825593044"; 6,95;
